generated_index,hash,matched_split,matched_dataset_indices,num_dataset_matches
2717,d40d4fe518cd056f7ad7e75a0c347fb356e19a27,train,86996,1
2760,68344b0638a40f0df2cb0936dbef319197077d88,train,77540 77542,2
2770,3e0f5d3e5f94ecd7dd6bc83b2002cc37fd1f4cdf,train,10564 10566,2
2777,78229247a6e73a9f456ecfaaff787d69b5f70bb0,train,84843,1
2803,cad9d64b4f9cea7d4d4d60417eac20d93c2ff91f,train,55709,1
2855,71af4069cf4e27d302f6e68b8d41788c7fe272a8,train,91777,1
2860,6069208005828e88ed6c65653540c5100631ccc1,train,2521,1
2888,09b30ccfe2e80112b284bfa7a92c3ba9c92fa90d,train,33076 33078,2
2904,f590e1178dbc14175f89e773e83c572228adf642,train,7826,1
2924,71d2ab772e32a6e28fb37f8bb901fcec587a5d04,train,47724 47726,2
2947,664e676f88d0a92aa7c3469408067b01c4568e37,train,88026,1
2986,46ec6911ec69b449b739ead9648e9168fdfcc1d7,train,14901,1
3028,839ddc0d54c4eb75689af628fac78e06a9e62c49,train,12973,1
3063,749d0c9a898245dc91a57870ef8802377fb5b15e,train,1337,1
3073,9b458c1b9ca875ff1c78b0ad92ebaba1b6bc4a9e,train,52060,1
3111,b242d364c1f6a17ebb4dfe05b9963f1a94d45c74,train,60172,1
3188,793276c30339482126be1bc291df8c33d29ca84f,train,8944 8951 33752,3
3217,4a2d08b5d40b6d25d1b43f30c8a66723a002e69c,train,44066,1
3299,8fa4b7d1bb45d8443ccd62bd140ec4a2ab784b3d,train,2203,1
3386,206f1aaa0b56e5198e06887390f8f963fd2f07b6,train,17124 17126,2
3426,7529c8e252db3ce0a3f8d2638fed13dee9903846,train,64446,1
3484,ec896a062aa6676ebc8512a32b8416d5286ec89d,train,91041,1
3494,7a1644c67b68b49bc5c875925332e34e9406b33c,train,85209,1
3495,dab73429f7fa2f3ea87eee7c903c389a5ec3bbb4,train,52486,1
3516,f50819d21540b52a55e74512a3b1d269da03ca03,train,92181,1
3523,0f96781578b3a50304c94df16df195fda45cddb3,train,86970,1
3529,adfaeffc89affb0c2ce356ef12e23adc53e0219a,train,15620,1
3531,1dad2834b86cba76605a22b70079e6cdd5949920,train,5724,1
3565,3fc9e3af544c2c563b6024708edd1944a7648b77,train,67586,1
3576,8948d60e4089c1fc603c56350367db3d17117434,train,54521,1
3590,b5f2191c3c47a1dbebf527a148e6eecd3624b05b,train,59180 59182,2
3609,2b5984a5eb3389d43accb0e96b52fcc85d9e4f3a,train,38741,1
3626,c15e96a7a709ac088f1c52a35d9ea9914c94009c,train,83509,1
3668,ff8f287df2edc7ccd55d3332b4d640b49d152f14,train,90426,1
3679,0530b83f5e30212b1da3179afc21e8293fafae41,train,17907,1
3690,bad22b223faeec4255a0d00f6a999a9d7ebb0291,train,13476 13478,2
3731,f88d723c8c339d30628ab8a5d3f665cd1211a943,train,54058,1
3732,67362d241efa2ae62f5945a7a2431bb443d07d95,train,1,1
3736,8c81bc765852c2eabe778c9a20a4b68e26ffc5ef,train,16890,1
3741,4b94190d453fc03aae6971e66e6fd1e8199424ad,train,70860 70862,2
3791,a5d9748138d528bce03dbd252f6d7c8f1e57a283,train,82627,1
3801,0c76a7ea041340564d0d3f194fac54044b9d58d2,train,86219,1
3826,9ac1ece6bde3708bf2dcca23649775ff01c50c65,train,26731,1
3878,8744dfa4d3133bf39cb81ada18e145e66152913d,train,63276 63278,2
3935,2100e171aad6764b9cfe18b956700356510ef28b,train,91677,1
3960,ef49b516c77791d0189dcd671f3490cf4dcc358a,train,47660 47662,2
3976,924b2cd7ce770f580b40297cda55fe3efd50d9d6,train,17565,1
3994,25efa4ba662f2fdb717e17866b56fe561941dd4a,train,12096 14912 14919,3
4012,6b84298d48073aa16259bebf4cdd1eeabcfd91fb,train,6580 6582,2
