index,status,score,reasons,opaque_ratio,edge_density,bbox_w,bbox_h,bbox_area,center_x,center_y,bbox_x0,bbox_y0,largest_component_ratio,component_count,token_entropy,unique_opaque_tokens
1624,keep,1.78008588,,0.22753906,0.17540323,0.37500000,0.84375000,0.31640625,0.47237990,0.55461720,0.29032258,0.12903226,1.00000000,1.00000000,3.01500262,15.00000000
1625,keep,7.88096070,,0.28515625,0.21118952,0.56250000,0.81250000,0.45703125,0.49027839,0.61334512,0.22580645,0.19354839,1.00000000,1.00000000,2.87143017,10.00000000
1626,keep,12.46727663,,0.29882812,0.23235887,0.78125000,0.81250000,0.63476562,0.49040692,0.59803922,0.09677419,0.19354839,1.00000000,1.00000000,2.89661309,11.00000000
1627,keep,12.31162491,,0.29882812,0.22933468,0.78125000,0.81250000,0.63476562,0.49040692,0.59803922,0.09677419,0.19354839,1.00000000,1.00000000,3.01026441,10.00000000
1628,keep,4.96584441,,0.26464844,0.21824597,0.46875000,0.84375000,0.39550781,0.49196524,0.57755029,0.25806452,0.12903226,1.00000000,1.00000000,2.92815150,11.00000000
1629,keep,7.87380552,,0.26855469,0.21370968,0.62500000,0.78125000,0.48828125,0.54076246,0.57325513,0.29032258,0.19354839,1.00000000,1.00000000,2.87271039,10.00000000
1630,keep,3.42533483,,0.19824219,0.17237903,0.37500000,0.75000000,0.28125000,0.48625457,0.58239314,0.32258065,0.22580645,1.00000000,1.00000000,3.24836256,12.00000000
1631,review,16.31537743,,0.33105469,0.27419355,0.78125000,0.87500000,0.68359375,0.49243506,0.57141498,0.09677419,0.12903226,1.00000000,1.00000000,3.13276145,13.00000000
1632,keep,2.25136106,,0.21386719,0.18447581,0.40625000,0.81250000,0.33007812,0.51067904,0.56355870,0.29032258,0.16129032,1.00000000,1.00000000,3.06643222,12.00000000
1633,keep,3.95646760,,0.26269531,0.21320565,0.46875000,0.78125000,0.36621094,0.49010673,0.57213095,0.25806452,0.19354839,1.00000000,1.00000000,3.23813930,12.00000000
